/Users/nitin/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(

Processing All 6 PDFs with Docling
==================================================
====================

Processing 10k1224.pdf...
2025-11-26 06:48:07,605 - INFO - detected formats: [<InputFormat.PDF: 'pdf'>]
2025-11-26 06:48:07,659 - INFO - Going to convert document batch...
2025-11-26 06:48:07,660 - INFO - Initializing pipeline for StandardPdfPipeline with options hash 44ae89a68fc272bc7889292e9b5a1bad
2025-11-26 06:48:07,666 - INFO - Loading plugin 'docling_defaults'
2025-11-26 06:48:07,668 - INFO - Registered picture descriptions: ['vlm', 'api']
2025-11-26 06:48:07,674 - INFO - Loading plugin 'docling_defaults'
2025-11-26 06:48:07,677 - INFO - Registered ocr engines: ['auto', 'easyocr', 'ocrmac', 'rapidocr', 'tesserocr', 'tesseract']
2025-11-26 06:48:08,445 - INFO - Auto OCR model selected ocrmac.
2025-11-26 06:48:08,451 - INFO - Accelerator device: 'mps'
2025-11-26 06:48:10,153 - INFO - Accelerator device: 'mps'
2025-11-26 06:48:11,133 - INFO - Processing document 10k1224.pdf
2025-11-26 07:01:45,735 - INFO - Finished converting document 10k1224.pdf in 818.17 sec.
  Found 298 tables
2025-11-26 07:01:45,743 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,775 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,778 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,780 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,784 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,786 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,786 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,787 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,788 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,791 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,792 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,793 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,794 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,794 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,796 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,797 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,798 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,798 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,799 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,800 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,801 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,802 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,803 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,805 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,806 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,807 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,808 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,809 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,809 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,810 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,811 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,811 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,812 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,812 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,814 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,815 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,817 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,818 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,819 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,819 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,820 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,820 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,821 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,822 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,823 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,823 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,823 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,824 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,825 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,826 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,827 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,830 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,832 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,833 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,833 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,834 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,835 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,835 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,836 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,836 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,840 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,842 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,843 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,844 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,844 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,844 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,846 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,849 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,852 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,853 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,854 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,855 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,856 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,857 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,857 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,859 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,861 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,862 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,863 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,865 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,867 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,868 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,869 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,870 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,872 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,873 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,876 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,878 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,879 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,882 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
2025-11-26 07:01:45,883 - WARNING - Usage of TableItem.export_to_markdown() without `doc` argument is deprecated.
